id,scrape_date,strategy_type,tab_name,ticker,trigger_price,strike_price,estimated_premium,item_id,options_expiry_date,date_info,timestamp_of_trigger,strategy_status,triggered,current_price,trigger_price_value
4,2025-03-10T05:45:08.783553,Bear Call,Mild Risk 95-97% accuracy > longer expiry,UNH,504.95,sell 540.0 - buy 550.0,79,1,2025-03-28,March,,,,487.72,504.95
1,2025-03-10T05:45:01.765097,Bear Call,Mild Risk 95-97% accuracy > shorter expiry,GOOGL,182.37,sell 192.5 - buy 202.5,76,1,2025-03-21,March,,,,172.35,182.37
2,2025-03-10T05:45:01.859124,Bear Call,Mild Risk 95-97% accuracy > shorter expiry,MSFT,404.89,sell 425.0 - buy 435.0,124,2,2025-03-21,March,,,,396.89,404.89
5,2025-03-10T05:45:12.185884,Bear Call,Minimal Risk 97-99% accuracy > longer expiry,UNH,507.27,sell 545.0 - buy 555.0,70,1,2025-03-28,March,,,,487.72,507.27
3,2025-03-10T05:45:05.348416,Bear Call,Minimal Risk 97-99% accuracy > shorter expiry,UNH,507.59,sell 535.0 - buy 545.0,93,1,2025-03-21,March,,,,487.72,507.59
12,2025-03-10T05:45:28.873263,Bull Put,Mild Risk 95-97% accuracy > longer expiry,AMZN,193.36,sell 182.5 - buy 172.5,180,1,2025-03-28,March,,,,200.7,193.36
13,2025-03-10T05:45:29.000733,Bull Put,Mild Risk 95-97% accuracy > longer expiry,META,589.67,sell 540.0 - buy 530.0,97,2,2025-03-28,March,,,,621.63,589.67
14,2025-03-10T05:45:29.095320,Bull Put,Mild Risk 95-97% accuracy > longer expiry,NVDA,104.72,sell 95.0 - buy 85.0,158,3,2025-03-28,March,,,,110.57,104.72
15,2025-03-10T05:45:29.234766,Bull Put,Mild Risk 95-97% accuracy > longer expiry,WMT,89.29,sell 86.0 - buy 80.0,70,4,2025-03-28,March,,,,91.09,89.29
6,2025-03-10T05:45:21.372973,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,AMZN,189.95,sell 180.0 - buy 170.0,155,1,2025-03-21,March,,,,200.7,189.95
7,2025-03-10T05:45:21.501424,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,NVDA,105.43,sell 95.0 - buy 85.0,132,2,2025-03-21,March,,,,110.57,105.43
8,2025-03-10T05:45:21.612754,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,QQQ,477.23,sell 460.0 - buy 450.0,224,3,2025-03-21,March,,,,488.2,477.23
9,2025-03-10T05:45:21.729360,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,WMT,89.68,sell 86.0 - buy 75.0,58,4,2025-03-21,March,,,,91.09,89.68
16,2025-03-10T05:45:32.755438,Bull Put,Minimal Risk 97-99% accuracy > longer expiry,MA,530.99,sell 505.0 - buy 490.0,178,1,2025-03-28,March,,,,546.77,530.99
17,2025-03-10T05:45:42.862385,Bull Put,Minimal Risk 97-99% accuracy > longer expiry,QQQ,490,sell 460.0 - buy 450.0,273,2,2025-03-28,March,,,1,488.2,490.0
18,2025-03-10T05:45:42.921073,Bull Put,Minimal Risk 97-99% accuracy > longer expiry,TQQQ,62.25,sell 60.0 - buy 50.0,210,3,2025-03-28,March,,,,66.04,62.25
10,2025-03-10T05:45:25.199171,Bull Put,Minimal Risk 97-99% accuracy > shorter expiry,TQQQ,60.44,sell 57.0 - buy 47.0,240,1,2025-03-21,March,,,,66.04,60.44
11,2025-03-10T05:45:25.293938,Bull Put,Minimal Risk 97-99% accuracy > shorter expiry,V,336.57,sell 325.0 - buy 315.0,107,2,2025-03-21,March,,,,345.32,336.57
