id,scrape_date,strategy_type,tab_name,ticker,trigger_price,strike_price,strike_buy,strike_sell,estimated_premium,item_id,options_expiry_date,date_info,timestamp_of_trigger,strategy_status,price_when_triggered,premium_received,triggered,trigger_price_value
61,2025-03-13T13:05:10.899474,Bear Call,Mild Risk 95-97% accuracy > longer expiry,NVDA,118.89,sell 130.0 - buy 140.0,140.0,130.0,164.0,1,2025-04-04,March,,,115.36,,,118.89
58,2025-03-13T13:05:04.016111,Bear Call,Mild Risk 95-97% accuracy > shorter expiry,AMZN,206.31,sell 215.0 - buy 225.0,225.0,215.0,153.0,1,2025-03-28,March,,,192.69,,,206.31
59,2025-03-13T13:05:04.107113,Bear Call,Mild Risk 95-97% accuracy > shorter expiry,GOOGL,174.73,sell 185.0 - buy 195.0,195.0,185.0,149.0,2,2025-03-28,March,,,162.93,,,174.73
62,2025-03-13T13:05:14.250104,Bear Call,Minimal Risk 97-99% accuracy > longer expiry,None,None,None,0.0,0.0,None,None,2025-04-04,March,,,,,,
60,2025-03-13T13:05:07.506903,Bear Call,Minimal Risk 97-99% accuracy > shorter expiry,None,None,None,0.0,0.0,None,None,2025-03-28,March,,,,,,
67,2025-03-13T13:05:31.076481,Bull Put,Mild Risk 95-97% accuracy > longer expiry,AAPL,211.35,sell 205.0 - buy 195.0,195.0,205.0,225.0,1,2025-04-04,March,,,211.29,,,211.35
63,2025-03-13T13:05:23.647157,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,JNJ,160.82,sell 155.0 - buy 145.0,145.0,155.0,73.0,1,2025-03-28,March,,,163.4,,,160.82
64,2025-03-13T13:05:23.747241,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,NKE (ER),72.26,sell 70.0 - buy 60.0,60.0,70.0,184.0,2,2025-03-28,March,,,,,,72.26
65,2025-03-13T13:05:23.902795,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,WMT,83.87,sell 80.0 - buy 70.0,70.0,80.0,76.0,3,2025-03-28,March,,,84.54,,,83.87
68,2025-03-13T13:05:34.668595,Bull Put,Minimal Risk 97-99% accuracy > longer expiry,JNJ,159.92,sell 152.5 - buy 143.0,143.0,152.5,54.0,1,2025-04-04,March,,,163.4,,,159.92
69,2025-03-13T13:05:34.808896,Bull Put,Minimal Risk 97-99% accuracy > longer expiry,UNH,471.43,sell 440.0 - buy 430.0,430.0,440.0,152.0,2,2025-04-04,March,,,481.99,,,471.43
66,2025-03-13T13:05:27.481240,Bull Put,Minimal Risk 97-99% accuracy > shorter expiry,UNH,474.1,sell 445.0 - buy 435.0,435.0,445.0,121.0,1,2025-03-28,March,,,481.99,,,474.1
