id,scrape_date,strategy_type,tab_name,ticker,trigger_price,strike_price,strike_buy,strike_sell,estimated_premium,last_price_when_checked,timestamp_of_price_when_last_checked,item_id,options_expiry_date,date_info,timestamp_of_trigger,strategy_status,price_when_triggered,price_when_order_placed,triggered,trigger_price_value
4,2025-03-22T11:03:17.220384,Bear Call,Mild Risk 95-97% accuracy > longer expiry,UNH,523.19,sell 560.0 - buy 570.0,570.0,560.0,170.0,,,1,2025-04-11,March,,,511.3,,,523.19
1,2025-03-22T11:03:01.806121,Bear Call,Mild Risk 95-97% accuracy > shorter expiry,MSFT,401.75,sell 420.0 - buy 430.0,430.0,420.0,75.0,,,1,2025-04-04,March,,,386.84,,,401.75
2,2025-03-22T11:03:02.235089,Bear Call,Mild Risk 95-97% accuracy > shorter expiry,UNH,523.96,sell 555.0 - buy 565.0,565.0,555.0,88.0,,,2,2025-04-04,March,,,511.3,,,523.96
5,2025-03-22T11:03:24.602577,Bear Call,Minimal Risk 97-99% accuracy > longer expiry,None,None,None,0.0,0.0,None,,,None,2025-04-11,March,,,,,,
3,2025-03-22T11:03:09.999565,Bear Call,Minimal Risk 97-99% accuracy > shorter expiry,None,None,None,0.0,0.0,None,,,None,2025-04-04,March,,,,,,
9,2025-03-22T11:03:58.896353,Bull Put,Mild Risk 95-97% accuracy > longer expiry,NKE,63.95,sell 62.0 - buy 50.0,50.0,62.0,105.0,,,1,2025-04-11,March,,,71.86,,,63.95
10,2025-03-22T11:03:59.315041,Bull Put,Mild Risk 95-97% accuracy > longer expiry,TQQQ,56.23,sell 53.0 - buy 45.0,45.0,53.0,168.0,,,2,2025-04-11,March,,,61.6,,,56.23
6,2025-03-22T11:03:44.403379,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,MSFT,378.41,sell 360.0 - buy 350.0,350.0,360.0,109.0,,,1,2025-04-04,March,,,386.84,,,378.41
7,2025-03-22T11:03:44.771654,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,WMT,83.77,sell 81.0 - buy 75.0,75.0,81.0,71.0,,,2,2025-04-04,March,,,85.57,,,83.77
11,2025-03-22T11:04:06.433055,Bull Put,Minimal Risk 97-99% accuracy > longer expiry,WMT,83.41,sell 80.0 - buy 70.0,70.0,80.0,72.0,,,1,2025-04-11,March,,,85.57,,,83.41
8,2025-03-22T11:03:51.630693,Bull Put,Minimal Risk 97-99% accuracy > shorter expiry,None,None,None,0.0,0.0,None,,,None,2025-04-04,March,,,,,,
